Ticket,Issue,Priority,Status,Sentiment
TKT-000173,Inventory mismatch,Low,Resolved,Neutral
TKT-000174,Integration timeout,Low,Resolved,Positive
TKT-000175,Delayed data refresh,High,Closed,Neutral
TKT-000176,Delayed data refresh,Medium,Open,Positive
TKT-000177,Export failure,Low,Resolved,Positive
TKT-000178,Inventory mismatch,High,Resolved,Positive
TKT-000179,Integration timeout,Low,Resolved,Positive
TKT-000180,Incorrect revenue mapping,Medium,Open,Positive
TKT-000181,Incorrect revenue mapping,Low,Closed,Positive
TKT-000182,Forecast variance,Medium,Closed,Positive
TKT-000183,Incorrect revenue mapping,Medium,Pending,Negative
TKT-000184,Forecast variance,Medium,Open,Negative
TKT-000185,Forecast variance,Medium,Pending,Neutral
TKT-000186,Export failure,Low,Resolved,Positive
TKT-000187,Incorrect revenue mapping,Critical,Closed,Positive
TKT-000188,Integration timeout,Low,Resolved,Neutral
TKT-000189,User provisioning,Critical,Pending,Negative
TKT-000190,User provisioning,Medium,Open,Positive
TKT-000191,Inventory mismatch,Low,Closed,Positive
TKT-000192,User provisioning,Medium,Resolved,Positive
TKT-000193,Integration timeout,Medium,Resolved,Positive
TKT-000194,Inventory mismatch,Critical,Resolved,Positive
TKT-000195,User provisioning,Critical,Pending,Negative
TKT-000196,Dashboard access,High,Open,Positive
TKT-000197,Inventory mismatch,High,Resolved,Positive
TKT-000198,Integration timeout,Medium,Resolved,Neutral
TKT-000199,Delayed data refresh,Medium,Open,Negative
TKT-000200,User provisioning,High,Pending,Negative
TKT-000201,Incorrect revenue mapping,High,Resolved,Positive
TKT-000202,Forecast variance,Critical,Closed,Positive
TKT-000203,Inventory mismatch,High,Open,Negative
TKT-000204,Integration timeout,Low,Closed,Positive
TKT-000205,Export failure,Medium,Resolved,Positive
TKT-000206,Delayed data refresh,Critical,Closed,Neutral
TKT-000207,Integration timeout,High,Resolved,Neutral
TKT-000208,Integration timeout,Critical,Pending,Negative
TKT-000209,Integration timeout,Medium,Pending,Neutral
TKT-000210,Delayed data refresh,Medium,Open,Negative
TKT-000211,Incorrect revenue mapping,Medium,Pending,Negative
TKT-000212,Delayed data refresh,High,Resolved,Neutral
TKT-000213,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000214,Forecast variance,High,Resolved,Positive
TKT-000215,Delayed data refresh,Low,Pending,Negative
TKT-000216,Incorrect revenue mapping,High,Closed,Positive
TKT-000217,Forecast variance,Critical,Closed,Positive
TKT-000218,Dashboard access,Low,Pending,Positive
TKT-000219,Export failure,Critical,Open,Negative
TKT-000220,Incorrect revenue mapping,Critical,Resolved,Positive
TKT-000221,Delayed data refresh,Low,Closed,Neutral
TKT-000222,Delayed data refresh,High,Closed,Positive
TKT-000223,Inventory mismatch,Critical,Pending,Negative
TKT-000224,Delayed data refresh,High,Closed,Positive
TKT-000225,Export failure,Medium,Pending,Neutral
TKT-000226,Forecast variance,Medium,Open,Positive
TKT-000227,User provisioning,Low,Closed,Neutral
TKT-000228,Delayed data refresh,Low,Closed,Neutral
TKT-000229,Dashboard access,Medium,Open,Negative
TKT-000230,Export failure,Critical,Closed,Positive
TKT-000231,Forecast variance,Medium,Pending,Negative
TKT-000232,User provisioning,Low,Pending,Negative
TKT-000233,User provisioning,Low,Closed,Positive
TKT-000234,User provisioning,Low,Resolved,Neutral
TKT-000235,Delayed data refresh,Medium,Resolved,Positive
TKT-000236,Incorrect revenue mapping,Critical,Closed,Neutral
TKT-000237,Delayed data refresh,High,Open,Negative
TKT-000238,Incorrect revenue mapping,Critical,Resolved,Positive
TKT-000239,Dashboard access,High,Open,Positive
TKT-000240,Integration timeout,Critical,Open,Negative
TKT-000241,Export failure,Medium,Pending,Negative
TKT-000242,User provisioning,Critical,Resolved,Neutral
TKT-000243,Dashboard access,Medium,Pending,Negative
TKT-000244,Incorrect revenue mapping,High,Closed,Positive
TKT-000245,Inventory mismatch,Medium,Pending,Positive
TKT-000246,Incorrect revenue mapping,High,Resolved,Positive
TKT-000247,Export failure,Medium,Pending,Neutral
TKT-000248,User provisioning,High,Pending,Positive
TKT-000249,Inventory mismatch,Medium,Closed,Positive
TKT-000250,Integration timeout,Critical,Open,Negative
TKT-000251,Incorrect revenue mapping,Low,Resolved,Neutral
TKT-000252,Forecast variance,Medium,Open,Negative
TKT-000253,Delayed data refresh,Medium,Closed,Positive
TKT-000254,Export failure,Low,Closed,Positive
TKT-000255,User provisioning,Medium,Closed,Neutral
TKT-000256,Forecast variance,High,Closed,Positive
TKT-000257,Export failure,Low,Open,Negative
TKT-000258,User provisioning,High,Closed,Neutral
TKT-000259,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000260,Export failure,Critical,Pending,Negative
TKT-000261,Dashboard access,Medium,Resolved,Neutral
TKT-000262,Dashboard access,Critical,Resolved,Positive
TKT-000263,User provisioning,Critical,Pending,Negative
TKT-000264,Forecast variance,High,Resolved,Neutral
TKT-000265,Dashboard access,Medium,Closed,Positive
TKT-000266,Dashboard access,Medium,Closed,Positive
TKT-000267,Dashboard access,Medium,Pending,Neutral
TKT-000268,Forecast variance,High,Resolved,Positive
TKT-000269,Incorrect revenue mapping,Medium,Pending,Neutral
TKT-000270,Inventory mismatch,High,Open,Neutral
TKT-000271,Forecast variance,Critical,Resolved,Neutral
TKT-000272,Forecast variance,Low,Pending,Positive
TKT-000273,Integration timeout,Medium,Closed,Positive
TKT-000274,Inventory mismatch,Low,Open,Negative
TKT-000275,User provisioning,High,Resolved,Neutral
TKT-000276,Inventory mismatch,Medium,Pending,Negative
TKT-000277,User provisioning,Low,Closed,Positive
TKT-000278,Incorrect revenue mapping,High,Closed,Positive
TKT-000279,Incorrect revenue mapping,Medium,Resolved,Neutral
TKT-000280,User provisioning,High,Closed,Neutral
TKT-000281,Dashboard access,Medium,Resolved,Neutral
TKT-000282,Delayed data refresh,Low,Closed,Neutral
TKT-000283,Delayed data refresh,Medium,Resolved,Positive
TKT-000284,Export failure,Medium,Open,Negative
TKT-000285,Dashboard access,High,Pending,Negative
TKT-000286,Delayed data refresh,High,Closed,Neutral
TKT-000287,Export failure,High,Pending,Negative
TKT-000288,Forecast variance,Medium,Pending,Neutral
TKT-000289,Export failure,Critical,Pending,Negative
TKT-000290,Delayed data refresh,High,Resolved,Positive
TKT-000291,Export failure,Low,Closed,Neutral
TKT-000292,Incorrect revenue mapping,Critical,Pending,Negative
TKT-000293,Integration timeout,High,Open,Negative
TKT-000294,Dashboard access,Medium,Pending,Positive
TKT-000295,Integration timeout,High,Resolved,Positive
TKT-000296,Delayed data refresh,Critical,Resolved,Positive
TKT-000297,Delayed data refresh,Critical,Pending,Negative
TKT-000298,Delayed data refresh,Medium,Pending,Neutral
TKT-000299,Inventory mismatch,Medium,Open,Neutral
TKT-000300,Forecast variance,Critical,Closed,Positive
TKT-000301,User provisioning,Medium,Open,Positive
TKT-000302,Export failure,High,Pending,Neutral
TKT-000303,Forecast variance,Medium,Closed,Positive
TKT-000304,Dashboard access,Medium,Closed,Positive
TKT-000305,Incorrect revenue mapping,Medium,Pending,Positive
TKT-000306,Incorrect revenue mapping,Low,Pending,Neutral
TKT-000307,User provisioning,Critical,Pending,Negative
TKT-000308,Export failure,High,Closed,Positive
TKT-000309,User provisioning,Medium,Pending,Neutral
TKT-000310,Export failure,Medium,Resolved,Positive
TKT-000311,Dashboard access,High,Resolved,Positive
TKT-000312,Forecast variance,Critical,Closed,Positive
TKT-000313,Integration timeout,Medium,Pending,Positive
TKT-000314,Inventory mismatch,Low,Open,Negative
TKT-000315,Export failure,Medium,Closed,Positive
TKT-000316,Export failure,Medium,Closed,Neutral
TKT-000317,Inventory mismatch,Low,Closed,Positive
TKT-000318,Integration timeout,Critical,Resolved,Positive
TKT-000319,Integration timeout,Medium,Open,Positive
TKT-000320,Inventory mismatch,Medium,Open,Positive
TKT-000321,User provisioning,Medium,Open,Neutral
TKT-000322,User provisioning,Medium,Pending,Negative
TKT-000323,Export failure,Medium,Resolved,Neutral
TKT-000324,Dashboard access,Medium,Pending,Neutral
TKT-000325,Forecast variance,Medium,Pending,Negative
TKT-000326,Dashboard access,Low,Open,Positive
TKT-000327,Integration timeout,Low,Pending,Neutral
TKT-000328,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000329,Incorrect revenue mapping,Medium,Open,Negative
TKT-000330,Integration timeout,High,Open,Neutral
TKT-000331,Delayed data refresh,High,Closed,Positive
TKT-000332,Integration timeout,Low,Resolved,Positive
TKT-000333,Inventory mismatch,Medium,Closed,Neutral
TKT-000334,Integration timeout,Medium,Closed,Neutral
TKT-000335,Forecast variance,Medium,Closed,Positive
TKT-000336,User provisioning,High,Pending,Positive
TKT-000337,Integration timeout,Medium,Resolved,Positive
TKT-000338,Forecast variance,Medium,Open,Neutral
TKT-000339,User provisioning,Medium,Pending,Neutral
TKT-000340,Export failure,Medium,Resolved,Positive
TKT-000341,Integration timeout,Critical,Pending,Negative
TKT-000342,Integration timeout,High,Pending,Negative
TKT-000343,Integration timeout,Medium,Closed,Neutral
TKT-000344,Export failure,Low,Resolved,Positive
TKT-000345,Delayed data refresh,High,Closed,Neutral
TKT-000346,Incorrect revenue mapping,Medium,Open,Positive
TKT-000347,Integration timeout,Medium,Open,Positive
TKT-000348,Export failure,Low,Resolved,Positive
TKT-000349,Forecast variance,Low,Open,Negative
TKT-000350,Forecast variance,Medium,Pending,Negative
TKT-000351,Delayed data refresh,Medium,Pending,Negative
TKT-000352,Export failure,High,Pending,Negative
TKT-000353,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000354,Delayed data refresh,Medium,Open,Neutral
TKT-000355,Delayed data refresh,High,Pending,Positive
TKT-000356,Export failure,Low,Resolved,Neutral
TKT-000357,User provisioning,Low,Closed,Positive
TKT-000358,Export failure,High,Pending,Negative
TKT-000359,Forecast variance,Critical,Pending,Negative
TKT-000360,User provisioning,Critical,Pending,Negative
TKT-000361,Forecast variance,Medium,Resolved,Neutral
TKT-000362,User provisioning,Low,Resolved,Positive
TKT-000363,Forecast variance,Medium,Pending,Negative
TKT-000364,Export failure,Medium,Open,Positive
TKT-000365,Incorrect revenue mapping,Low,Open,Positive
TKT-000366,Export failure,Medium,Resolved,Positive
TKT-000367,Incorrect revenue mapping,Medium,Closed,Neutral
TKT-000368,Forecast variance,Low,Pending,Negative
TKT-000369,Dashboard access,High,Pending,Positive
TKT-000370,Forecast variance,Critical,Resolved,Positive
TKT-000371,Integration timeout,Low,Closed,Neutral
TKT-000372,Export failure,Low,Closed,Neutral
TKT-000373,Inventory mismatch,High,Resolved,Positive
TKT-000374,Integration timeout,Low,Resolved,Positive
TKT-000375,Export failure,Critical,Pending,Negative
TKT-000376,Export failure,High,Resolved,Neutral
TKT-000377,Integration timeout,Medium,Resolved,Positive
TKT-000378,Forecast variance,Low,Closed,Neutral
TKT-000379,Delayed data refresh,Critical,Resolved,Positive
TKT-000380,Delayed data refresh,Low,Resolved,Positive
TKT-000381,Integration timeout,Medium,Open,Positive
TKT-000382,Export failure,Low,Resolved,Positive
TKT-000383,Dashboard access,Low,Resolved,Positive
TKT-000384,Dashboard access,Low,Open,Negative
TKT-000385,Incorrect revenue mapping,High,Pending,Positive
TKT-000386,Inventory mismatch,Critical,Resolved,Positive
TKT-000387,Dashboard access,Medium,Open,Neutral
TKT-000388,Delayed data refresh,Low,Resolved,Positive
TKT-000389,User provisioning,Critical,Resolved,Positive
TKT-000390,Dashboard access,Low,Closed,Neutral
TKT-000391,Inventory mismatch,Medium,Resolved,Positive
TKT-000392,Integration timeout,Medium,Open,Neutral
TKT-000393,Inventory mismatch,Medium,Closed,Positive
TKT-000394,Delayed data refresh,High,Resolved,Neutral
TKT-000395,User provisioning,Low,Pending,Negative
TKT-000396,Export failure,Low,Resolved,Neutral
TKT-000397,User provisioning,High,Resolved,Positive
TKT-000398,Export failure,Medium,Pending,Positive
TKT-000399,User provisioning,Medium,Open,Neutral
TKT-000400,Dashboard access,Critical,Closed,Neutral
TKT-000401,Export failure,Medium,Pending,Neutral
TKT-000402,Dashboard access,Critical,Open,Negative
TKT-000403,Dashboard access,Critical,Resolved,Positive
TKT-000404,Integration timeout,Medium,Resolved,Positive
TKT-000405,Delayed data refresh,Medium,Resolved,Positive
TKT-000406,Forecast variance,Critical,Pending,Negative
TKT-000407,Integration timeout,Critical,Pending,Negative
TKT-000408,Forecast variance,High,Open,Positive
TKT-000409,Forecast variance,Medium,Open,Positive
TKT-000410,Delayed data refresh,Low,Closed,Positive
TKT-000411,Forecast variance,Medium,Pending,Positive
TKT-000412,Export failure,Critical,Resolved,Neutral
TKT-000413,Dashboard access,Medium,Pending,Negative
TKT-000414,User provisioning,Critical,Pending,Negative
TKT-000415,Inventory mismatch,Low,Resolved,Positive
TKT-000416,Inventory mismatch,Medium,Open,Negative
TKT-000417,Inventory mismatch,Low,Open,Neutral
TKT-000418,Delayed data refresh,Medium,Resolved,Neutral
TKT-000419,Delayed data refresh,High,Open,Negative
TKT-000420,Incorrect revenue mapping,Low,Resolved,Positive
TKT-000421,Export failure,High,Open,Negative
TKT-000422,Inventory mismatch,Medium,Open,Neutral
TKT-000423,Forecast variance,High,Open,Neutral
TKT-000424,Incorrect revenue mapping,Medium,Resolved,Neutral
TKT-000425,Inventory mismatch,Medium,Closed,Neutral
TKT-000426,Forecast variance,High,Pending,Neutral
TKT-000427,Inventory mismatch,Medium,Closed,Positive
TKT-000428,Dashboard access,High,Pending,Positive
TKT-000429,Integration timeout,Low,Pending,Negative
TKT-000430,Incorrect revenue mapping,Medium,Resolved,Positive
TKT-000431,Export failure,High,Resolved,Neutral
TKT-000432,Incorrect revenue mapping,Low,Resolved,Positive
TKT-000433,Delayed data refresh,Medium,Pending,Neutral
TKT-000434,Dashboard access,Critical,Open,Negative
TKT-000435,User provisioning,Medium,Pending,Neutral
TKT-000436,Delayed data refresh,High,Open,Neutral
TKT-000437,Inventory mismatch,High,Closed,Positive
TKT-000438,Integration timeout,Low,Pending,Negative
TKT-000439,Delayed data refresh,High,Resolved,Positive
TKT-000440,User provisioning,Critical,Pending,Negative
TKT-000441,Integration timeout,Medium,Resolved,Neutral
TKT-000442,User provisioning,Low,Resolved,Neutral
TKT-000443,Dashboard access,Low,Closed,Positive
TKT-000444,Dashboard access,Medium,Resolved,Positive
TKT-000445,Integration timeout,Medium,Pending,Positive
TKT-000446,Export failure,Medium,Open,Positive
TKT-000447,Dashboard access,Medium,Pending,Negative
TKT-000448,Inventory mismatch,Low,Pending,Neutral
TKT-000449,Incorrect revenue mapping,Medium,Open,Positive
TKT-000450,Integration timeout,Medium,Closed,Positive
TKT-000451,Export failure,Low,Resolved,Positive
TKT-000452,User provisioning,Medium,Pending,Neutral
TKT-000453,User provisioning,High,Open,Negative
TKT-000454,Forecast variance,Critical,Resolved,Positive
TKT-000455,User provisioning,Low,Closed,Positive
TKT-000456,Delayed data refresh,Low,Resolved,Positive
TKT-000457,Incorrect revenue mapping,Medium,Pending,Neutral
TKT-000458,Dashboard access,Medium,Resolved,Positive
TKT-000459,Incorrect revenue mapping,Critical,Open,Negative
TKT-000460,Delayed data refresh,Critical,Resolved,Positive
TKT-000461,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000462,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000463,Forecast variance,Medium,Resolved,Positive
TKT-000464,Integration timeout,High,Resolved,Positive
TKT-000465,User provisioning,High,Open,Neutral
TKT-000466,Export failure,Low,Resolved,Neutral
TKT-000467,Forecast variance,Medium,Open,Positive
TKT-000468,Incorrect revenue mapping,Low,Closed,Neutral
TKT-000469,Incorrect revenue mapping,Medium,Closed,Neutral
TKT-000470,User provisioning,Low,Pending,Positive
TKT-000471,Incorrect revenue mapping,High,Resolved,Positive
TKT-000472,Inventory mismatch,Critical,Pending,Negative
TKT-000473,Forecast variance,Medium,Open,Neutral
TKT-000474,Export failure,Medium,Open,Positive
TKT-000475,User provisioning,High,Open,Negative
TKT-000476,Delayed data refresh,Medium,Resolved,Positive
TKT-000477,Export failure,Low,Resolved,Neutral
TKT-000478,Incorrect revenue mapping,Critical,Closed,Neutral
TKT-000479,Dashboard access,Medium,Open,Neutral
TKT-000480,Inventory mismatch,Low,Resolved,Neutral
TKT-000481,Dashboard access,Medium,Open,Positive
TKT-000482,Dashboard access,Medium,Open,Neutral
TKT-000483,Inventory mismatch,Medium,Pending,Negative
TKT-000484,Export failure,High,Pending,Negative
TKT-000485,Inventory mismatch,Critical,Pending,Negative
TKT-000486,User provisioning,Medium,Closed,Positive
TKT-000487,Forecast variance,Medium,Closed,Positive
TKT-000488,Delayed data refresh,High,Open,Negative
TKT-000489,Incorrect revenue mapping,Medium,Pending,Neutral
TKT-000490,Incorrect revenue mapping,Low,Resolved,Neutral
TKT-000491,Integration timeout,Critical,Resolved,Positive
TKT-000492,Forecast variance,Low,Resolved,Neutral
TKT-000493,User provisioning,Medium,Open,Negative
TKT-000494,Dashboard access,High,Resolved,Neutral
TKT-000495,Integration timeout,Medium,Pending,Negative
TKT-000496,Integration timeout,Medium,Closed,Positive
TKT-000497,Export failure,High,Closed,Positive
TKT-000498,Inventory mismatch,Low,Resolved,Neutral
TKT-000499,Integration timeout,Medium,Open,Neutral
TKT-000500,User provisioning,Medium,Resolved,Positive
TKT-000501,Incorrect revenue mapping,Medium,Open,Negative
TKT-000502,User provisioning,Medium,Open,Neutral
TKT-000503,Export failure,Medium,Resolved,Positive
TKT-000504,Incorrect revenue mapping,Low,Open,Neutral
TKT-000505,Incorrect revenue mapping,Critical,Closed,Positive
TKT-000506,Export failure,Low,Open,Positive
TKT-000507,Incorrect revenue mapping,Medium,Resolved,Positive
TKT-000508,Dashboard access,Low,Pending,Positive
TKT-000509,Export failure,Low,Resolved,Positive
TKT-000510,Integration timeout,Low,Open,Negative
TKT-000511,Delayed data refresh,Medium,Open,Neutral
TKT-000512,Export failure,High,Closed,Neutral
TKT-000513,Delayed data refresh,Medium,Open,Positive
TKT-000514,Dashboard access,Medium,Open,Neutral
TKT-000515,Incorrect revenue mapping,Medium,Pending,Neutral
TKT-000516,Export failure,Critical,Closed,Positive
TKT-000517,Delayed data refresh,Low,Closed,Positive
TKT-000518,Export failure,Medium,Resolved,Positive
TKT-000519,Incorrect revenue mapping,Low,Open,Negative
TKT-000520,Inventory mismatch,Medium,Closed,Positive
TKT-000521,Dashboard access,Low,Closed,Positive
TKT-000522,User provisioning,Low,Closed,Neutral
TKT-000523,Forecast variance,Critical,Pending,Negative
TKT-000524,Delayed data refresh,High,Closed,Positive
TKT-000525,Export failure,Low,Resolved,Neutral
TKT-000526,Delayed data refresh,Medium,Closed,Positive
TKT-000527,Incorrect revenue mapping,Low,Open,Negative
TKT-000528,Export failure,Critical,Open,Negative
TKT-000529,Forecast variance,Medium,Resolved,Positive
